continent,wind_direction,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph
Africa,NW,8.1625,13.108333333333336,76.08333333333333,34.458333333333336,0.5583333333333335,0.022083333333333333,1014.1666666666666,29.946249999999996,9.708333333333334,5.708333333333333,1.0,11.470833333333337,18.466666666666665
Africa,N,2.8320754716981127,4.598113207547167,86.0377358490566,42.60377358490566,0.3641509433962265,0.01358490566037736,1015.3018867924528,29.979245283018873,8.830188679245284,5.226415094339623,1.0943396226415094,9.211320754716981,14.828301886792454
Africa,NE,5.600000000000001,8.999999999999998,60.13636363636363,30.0,0.022727272727272728,0.00045454545454545455,1019.7272727272727,30.110909090909093,9.909090909090908,5.909090909090909,1.5909090909090908,8.304545454545456,13.381818181818181
Africa,E,6.6000000000000005,10.61470588235294,55.23529411764706,9.588235294117647,0.2588235294117647,0.010294117647058823,1016.2941176470588,30.010588235294122,9.882352941176471,5.911764705882353,1.1176470588235294,10.173529411764708,16.379411764705885
Africa,SE,6.172222222222222,9.944444444444443,69.16666666666667,29.0,0.14444444444444446,0.005555555555555556,1013.6111111111111,29.930555555555557,8.833333333333334,5.166666666666667,1.5555555555555556,9.1,14.63888888888889
Africa,S,8.290909090909091,13.348484848484848,75.96969696969697,34.303030303030305,0.20606060606060603,0.008181818181818182,1013.8484848484849,29.93454545454546,9.409090909090908,5.545454545454546,1.696969696969697,13.554545454545456,21.799999999999997
Africa,SW,8.075384615384614,12.981538461538468,79.53846153846153,45.15384615384615,0.8753846153846155,0.03446153846153846,1013.8461538461538,29.935692307692324,9.307692307692308,5.507692307692308,1.8923076923076922,11.961538461538462,19.244615384615386
Africa,W,5.961702127659575,9.57872340425532,79.65957446808511,47.255319148936174,0.965957446808511,0.03787234042553192,1015.1489361702128,29.97893617021278,8.451063829787234,4.808510638297872,1.5106382978723405,9.989361702127658,16.087234042553195
America,NW,7.768749999999999,12.50625,76.6875,47.6875,0.4125,0.01625,1012.6875,29.904374999999998,9.35,5.4375,3.75,6.46875,10.437499999999998
America,N,4.541666666666665,7.333333333333335,72.30555555555556,42.72222222222222,0.3277777777777777,0.01277777777777778,1011.5,29.866111111111106,9.86111111111111,5.861111111111111,2.4722222222222223,8.983333333333334,14.461111111111112
America,NE,7.385,11.885000000000002,66.45,41.7,0.12250000000000003,0.004749999999999999,1013.5,29.927749999999993,10.075,5.975,3.1,11.457500000000003,18.427500000000002
America,E,8.783749999999996,14.145000000000007,74.1,39.2375,0.1387499999999999,0.005,1013.1125,29.91550000000001,9.98375,5.9625,2.5875,15.254999999999999,24.541250000000005
America,SE,8.326086956521738,13.382608695652175,71.6086956521739,43.21739130434783,0.02608695652173913,0.0008695652173913044,1012.4782608695652,29.895217391304353,10.26086956521739,6.130434782608695,2.6956521739130435,9.082608695652173,14.62608695652174
America,S,7.996874999999999,12.865624999999998,74.90625,52.125,0.11875000000000001,0.004375,1013.96875,29.941250000000004,12.25,7.25,3.71875,9.193749999999998,14.793750000000001
America,SW,6.039999999999998,9.68,80.26666666666667,45.733333333333334,0.36,0.014000000000000002,1012.8666666666667,29.906666666666673,8.966666666666667,5.266666666666667,3.066666666666667,7.279999999999999,11.699999999999998
America,W,5.6000000000000005,8.983333333333333,56.833333333333336,23.666666666666668,0.23333333333333336,0.008333333333333333,1012.6666666666666,29.900000000000002,11.0,6.5,3.5,7.3500000000000005,11.833333333333334
Asia,NW,6.858620689655172,11.04137931034483,59.06896551724138,16.482758620689655,0.04137931034482759,0.0013793103448275863,1006.9655172413793,29.735517241379313,9.137931034482758,5.413793103448276,3.2413793103448274,12.63793103448276,20.344827586206893
Asia,N,4.243421052631577,6.84868421052632,67.82894736842105,25.68421052631579,0.12631578947368421,0.005,1010.3421052631579,29.83434210526317,8.868421052631579,5.131578947368421,2.5,7.773684210526314,12.510526315789477
Asia,NE,4.9282051282051285,7.9333333333333345,69.64102564102564,21.974358974358974,0.041025641025641026,0.0015384615384615385,1010.0512820512821,29.8274358974359,9.194871794871796,5.384615384615385,3.0,8.576923076923078,13.817948717948717
Asia,E,5.003846153846155,8.06153846153846,69.84615384615384,19.0,0.057692307692307696,0.0023076923076923075,1010.0,29.82461538461538,9.003846153846155,5.3076923076923075,2.576923076923077,7.773076923076923,12.52692307692308
Asia,SE,4.626315789473684,7.4684210526315775,67.63157894736842,32.421052631578945,0.2789473684210526,0.011052631578947368,1007.7368421052631,29.757894736842104,8.842105263157896,5.2105263157894735,3.789473684210526,7.973684210526314,12.826315789473684
Asia,S,5.704347826086957,9.15652173913044,70.93478260869566,34.52173913043478,0.14565217391304344,0.005434782608695652,1009.5217391304348,29.81021739130434,9.243478260869566,5.456521739130435,4.0,8.74782608695652,14.093478260869563
Asia,SW,5.707894736842105,9.171052631578945,76.97368421052632,43.13157894736842,0.2210526315789474,0.00868421052631579,1008.8684210526316,29.7928947368421,9.18421052631579,5.368421052631579,3.3684210526315788,8.263157894736844,13.299999999999999
Asia,W,6.194871794871796,9.96666666666667,55.58974358974359,26.102564102564102,0.7692307692307692,0.03051282051282051,1008.8717948717949,29.792307692307684,9.082051282051282,5.358974358974359,2.4871794871794872,10.187179487179485,16.40256410256411
Atlantic,E,4.3,6.8,82.0,0.0,0.0,0.0,1010.0,29.83,10.0,6.0,3.0,5.4,8.6
Atlantic,N,10.233333333333334,16.46666666666667,82.33333333333333,41.666666666666664,0.19999999999999998,0.006666666666666667,1011.6666666666666,29.87333333333333,10.0,6.0,1.0,15.033333333333333,24.233333333333334
