country,continent,wind_direction,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph
Grenada,America,E,11.03333333,17.78333333,79.33333333,29.16666667,0.1,0.003333333,1011.833333,29.87666667,10,6,2,17.56666667,28.25
Grenada,America,NE,12.5,20.2,79,25,0,0,1012,29.88,10,6,1,17.4,28.1
Guatemala,America,N,2.2,3.6,91,50,1.6,0.065,1019.5,30.105,10,6,4.5,5.7,9.2
Guatemala,America,NE,8.125,13.05,66,75,0.55,0.02,1018.5,30.075,10,6,5.25,3.675,5.95
Guatemala,America,S,4.3,6.8,95.5,75,1.1,0.04,1016.5,30.025,10,6,3,1.8,2.9
Guinea,Africa,NE,2.2,3.6,89,50,0,0,1014,29.94,10,6,1,1.6,2.5
Guinea,Africa,NW,11.9,19.1,89,75,0.4,0.02,1015,29.97,10,6,1,18.8,30.2
Guinea,Africa,SW,4.55,7.4,86.5,50,1,0.035,1013.5,29.925,10,6,1,10.85,17.45
Guinea,Africa,W,4.55,7.4,89,62.5,0.45,0.015,1013.5,29.925,10,6,1,15.5,25.05
Guinea-Bissau,Africa,N,2.2,3.6,100,25,0,0,1013,29.91,8,4,1,2.2,3.6
Guinea-Bissau,Africa,S,6.9,11.2,84,50,0.5,0.02,1013,29.91,9,5,6,13,20.9
Guinea-Bissau,Africa,SW,6,9.7,91.5,61,0.6,0.025,1013,29.915,8,4.5,1,13.75,22.15
Guyana,America,E,4.55,7.4,89,37.5,0.05,0,1013,29.91,10,6,1,13.55,21.75
Guyana,America,N,2.2,3.6,97,50,0.9,0.035,1012.5,29.895,7.5,4.5,1,12.1,19.45
Guyana,America,NE,5.6,9,81.5,31.25,0.05,0.0025,1011.25,29.86,10,6,1,12.875,20.675
Guyana,America,SW,4.3,6.8,94,25,0,0,1011,29.85,10,6,1,14.1,22.7
Haiti,America,E,10.5,16.9,63,75,0,0,1012,29.89,8,4,7,4.9,7.9
Haiti,America,NE,6.9,11.2,75,50,0,0,1010,29.83,9,5,7,2.9,4.7
Haiti,America,NW,9.4,15.1,63,37,0,0,1010,29.81,9,5,1,3.8,6.1
Haiti,America,S,2.2,3.6,63,100,0,0,1014,29.94,10,6,6,2.9,4.7
Honduras,America,N,16.1,25.9,88,75,1.2,0.05,1018,30.06,10,6,4,9.6,15.5
Honduras,America,NE,5.966666667,9.6,52.66666667,44.66666667,0.133333333,0.006666667,1015,29.97666667,10,6,6.333333333,5.9,9.466666667
Honduras,America,NW,2.2,3.6,74,25,0.8,0.03,1018,30.06,10,6,1,4.7,7.6
Honduras,America,SE,3.8,6.1,88,75,0,0,1017,30.03,10,6,1,6.7,10.8
Hungary,Europe,N,4.683333333,7.5,85.83333333,0,0.1,0.003333333,1019,30.09166667,10,6,1,6.766666667,10.85
Hungary,Europe,NE,2.2,3.6,77,0,0,0,1021,30.15,10,6,1,7.2,11.5
Hungary,Europe,W,4.3,6.8,94,0,0.8,0.03,1009,29.8,10,6,1,3.1,5
Iceland,Atlantic,E,4.3,6.8,82,0,0,0,1010,29.83,10,6,3,5.4,8.6
Iceland,Atlantic,S,15,24.1,96,100,0.1,0,1014,29.93,10,6,1,20.6,33.1
Iceland,Atlantic,SE,22.53333333,36.26666667,90.33333333,91,1.133333333,0.043333333,1004.666667,29.67,9,5.333333333,1,34.23333333,55.06666667
Iceland,Atlantic,SW,19.1,30.75,76,47,0.2,0.01,1005,29.67,10,6,1,28.75,46.25
India,Asia,E,5.6,9,79,75,0,0,1005,29.68,2.5,1,1,7.2,11.5
India,Asia,N,2.2,3.6,74.5,75,0,0,1005.5,29.695,3.1,1,1,3.8,6.1
India,Asia,NE,6.9,11.2,89,50,0.05,0,1005,29.68,2.4,0.5,1,7.4,11.9
India,Asia,W,5.7,9.175,65.5,7.75,0,0,1005,29.6775,5.05,2.75,2.75,9.5,15.3
Indonesia,Asia,NE,16.1,25.9,63,25,0,0,1007,29.74,8,4,8,15.4,24.8
Indonesia,Asia,S,4.711111111,7.555555556,77.66666667,25.88888889,0,0,1012.222222,29.88555556,7.888888889,4.555555556,6.222222222,5.722222222,9.2
Indonesia,Asia,SE,2.2,3.6,78,25,0,0,1012,29.88,5,3,7,1.6,2.5
Indonesia,Asia,SW,3.433333333,5.5,92.33333333,27.33333333,0,0,1012,29.88333333,6.333333333,3.666666667,6.333333333,3.5,5.633333333
Iran,Asia,N,4.92,7.92,23.8,20,0,0,1015.2,29.97,10,6,1,3.18,5.12
Iran,Asia,NW,9.4,15.1,21,0,0,0,1012,29.89,10,6,1,1.3,2.2
Iran,Asia,S,4.3,6.8,36,0,0,0,1016,30.01,10,6,1,3.1,5
Iran,Asia,SE,8.15,13.15,16.5,37.5,0,0,1012,29.875,10,6,4.5,9.4,15.15
Iraq,Asia,N,3.533333333,5.666666667,17.66666667,0,0,0,1004.333333,29.66,10,6,1,23.2,37.3
Iraq,Asia,NW,4.55,7.4,23,0,0,0,1003,29.61,10,6,5,17.45,28.05
Iraq,Asia,SW,2.5,4,35,0,0,0,1003,29.62,10,6,1,12.1,19.4
