continent,country,last_updated_day,gust_mph,visibility_km,uv_index,air_quality_Ozone
Asia,Kuwait,2023-09-03,14.8,10.0,1,108.7
Asia,Kuwait,2023-09-04,15.9,10.0,1,97.3
Asia,Kuwait,2023-09-05,11.2,10.0,1,52.9
Asia,Kuwait,2023-09-06,23.5,10.0,1,111.6
Asia,Kuwait,2023-09-07,31.1,10.0,1,115.9
Asia,Kuwait,2023-09-08,5.8,10.0,1,8.5
Asia,Lebanon,2023-08-29,20.4,6.0,7,108.7
Asia,Lebanon,2023-08-30,14.1,8.0,1,95.8
Asia,Lebanon,2023-08-31,4.0,6.0,1,83.7
Asia,Lebanon,2023-09-01,2.2,8.0,1,91.6
Asia,Lebanon,2023-09-02,4.5,10.0,1,90.8
Asia,Lebanon,2023-09-03,9.6,8.0,1,93.0
Asia,Lebanon,2023-09-04,8.7,8.0,1,140.2
Asia,Lebanon,2023-09-05,2.0,10.0,1,87.3
Asia,Lebanon,2023-09-06,7.6,10.0,1,105.9
Asia,Lebanon,2023-09-07,7.4,10.0,1,95.8
Asia,Lebanon,2023-09-08,4.0,8.0,1,81.5
Asia,Mongolia,2023-08-29,3.8,10.0,4,14.0
Asia,Mongolia,2023-08-30,9.4,10.0,5,36.5
Asia,Mongolia,2023-08-31,6.5,10.0,6,70.1
Asia,Mongolia,2023-09-01,9.2,10.0,6,79.4
Asia,Mongolia,2023-09-02,13.2,10.0,5,66.5
Asia,Mongolia,2023-09-03,11.2,10.0,6,85.1
Asia,Mongolia,2023-09-04,7.2,10.0,6,76.5
Asia,Mongolia,2023-09-05,12.1,10.0,7,93.0
Asia,Mongolia,2023-09-06,15.7,10.0,7,133.0
Asia,Mongolia,2023-09-07,12.5,10.0,3,52.9
Asia,Mongolia,2023-09-08,15.2,10.0,6,76.5
Asia,Pakistan,2023-08-29,4.0,10.0,8,277.5
Asia,Pakistan,2023-08-30,7.4,10.0,7,98.7
Asia,Pakistan,2023-08-31,13.0,10.0,1,47.2
Asia,Pakistan,2023-09-01,4.9,10.0,1,52.2
Asia,Pakistan,2023-09-02,9.6,10.0,1,34.7
Asia,Pakistan,2023-09-03,10.5,10.0,1,27.9
Asia,Pakistan,2023-09-04,11.0,10.0,1,113.0
Asia,Pakistan,2023-09-05,10.5,10.0,1,44.4
Asia,Pakistan,2023-09-06,11.9,10.0,1,40.4
Asia,Pakistan,2023-09-07,14.1,10.0,1,35.1
Asia,Pakistan,2023-09-08,14.5,10.0,1,35.1
Asia,Qatar,2023-08-29,16.1,10.0,9,147.3
Asia,Qatar,2023-08-30,17.0,10.0,8,57.2
Asia,Qatar,2023-08-31,16.1,10.0,1,111.6
Asia,Qatar,2023-09-01,27.5,10.0,1,167.4
Asia,Qatar,2023-09-02,13.4,10.0,1,103.0
Asia,Qatar,2023-09-03,7.6,10.0,1,0.0
Asia,Qatar,2023-09-04,8.9,9.0,1,34.0
Asia,Qatar,2023-09-05,6.3,10.0,1,0.0
Asia,Qatar,2023-09-06,9.2,7.0,1,110.2
Asia,Qatar,2023-09-07,16.8,3.2,1,0.0
Asia,Qatar,2023-09-08,12.3,9.0,1,97.3
Asia,Saudi Arabia,2023-08-29,7.4,10.0,10,160.2
Asia,Saudi Arabia,2023-08-30,20.8,10.0,1,98.7
Asia,Saudi Arabia,2023-08-31,12.5,10.0,1,144.5
Asia,Saudi Arabia,2023-09-01,12.3,10.0,1,79.4
Asia,Saudi Arabia,2023-09-02,5.4,10.0,1,62.2
Asia,Saudi Arabia,2023-09-03,15.7,10.0,1,83.7
Asia,Saudi Arabia,2023-09-04,6.5,10.0,1,123.0
Asia,Saudi Arabia,2023-09-05,3.8,10.0,1,55.1
Asia,Saudi Arabia,2023-09-06,2.9,10.0,1,100.1
Asia,Saudi Arabia,2023-09-07,13.6,10.0,1,85.1
Asia,Saudi Arabia,2023-09-08,17.4,10.0,1,98.7
Asia,Turkmenistan,2023-08-29,3.8,10.0,8,223.2
Asia,Turkmenistan,2023-08-30,6.3,10.0,7,85.8
Asia,Turkmenistan,2023-08-31,6.7,10.0,1,42.9
Asia,Turkmenistan,2023-09-01,7.2,10.0,1,51.5
Asia,Turkmenistan,2023-09-02,5.1,10.0,1,43.6
