country,continent,temperature_celsius,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,air_quality_condition,human_health_risk,remark
Malawi,Africa,18.25,5.6,9.0,54.08,6.58,0.0,0.0,1018.58,30.08,10.0,6.0,1.42,7.43,11.97,336.85,43.92,1.69,0.55,8.58,12.28,1.17,1.17,80.58,Acceptable,Slight Concern,None
Malaysia,Asia,25.75,2.55,4.13,89.83,25.0,0.45,0.02,1009.67,29.82,9.0,5.08,1.92,3.33,5.37,4163.43,2.81,68.22,52.72,113.74,134.68,4.0,9.42,80.58,Hazardous,Emergency,Transboundary Haze
Maldives,Indian,27.18,15.32,24.65,78.5,72.75,1.24,0.05,1009.83,29.82,9.33,5.5,1.92,24.3,39.14,177.88,31.97,0.18,0.22,1.25,2.59,1.0,1.0,80.58,Satisfactory,Low,None
Mali,Africa,24.83,4.1,6.57,93.67,27.08,0.78,0.03,1015.33,29.98,9.5,5.67,1.33,8.9,14.32,748.52,3.18,3.74,1.42,19.51,26.38,1.67,2.33,80.58,Unhealthy,Serious,Deforestation
Malta,Europe,23.92,9.38,15.09,71.58,13.5,1.26,0.05,1013.83,29.94,10.0,6.0,1.5,19.78,31.82,219.74,90.08,1.17,23.08,15.2,20.12,1.42,2.0,80.58,Satisfactory,Low,None
Marshall Islands,Pacific,29.94,7.5,12.08,75.5,79.33,0.22,0.01,1010.75,29.84,23.5,13.75,5.75,13.83,22.24,167.59,19.01,0.0,0.06,1.09,3.02,1.0,1.0,80.58,Satisfactory,Low,None
Mauritania,Africa,28.08,13.37,21.47,76.42,28.83,0.32,0.01,1012.42,29.9,9.75,5.83,1.5,19.48,31.35,347.15,43.4,1.32,0.96,14.78,49.31,1.42,2.0,80.58,Acceptable,Slight Concern,None
Mauritius,Indian,21.67,8.34,13.41,78.92,45.83,0.02,0.0,1020.25,30.13,10.0,6.0,1.92,14.65,23.58,234.75,63.42,1.71,2.14,3.96,10.22,1.0,1.0,80.58,Satisfactory,Low,None
Mexico,America,21.67,13.01,20.95,51.25,76.0,0.0,0.0,1024.5,30.25,11.78,6.83,5.33,7.21,11.62,769.09,125.58,32.48,31.2,34.67,37.91,1.92,3.08,80.58,Unhealthy,Serious,Industrial Zones
Micronesia,Pacific,29.25,5.1,8.18,81.92,91.67,0.59,0.02,1010.58,29.84,23.67,13.92,5.92,10.24,16.5,173.99,10.18,0.01,0.01,0.54,1.02,1.0,1.0,80.58,Satisfactory,Low,None
Monaco,Europe,22.33,9.36,15.08,63.17,18.75,0.02,0.0,1015.33,29.98,10.0,6.0,1.42,9.62,15.48,237.4,46.43,7.84,0.93,10.42,12.57,1.25,1.5,80.58,Satisfactory,Low,None
Mongolia,Asia,12.08,5.16,8.35,75.33,22.92,0.02,0.0,1015.75,29.99,10.0,6.0,5.17,10.22,16.43,223.5,72.51,7.57,39.28,10.45,27.26,1.17,1.5,80.58,Satisfactory,Low,None
Montenegro,Europe,22.83,8.93,14.38,63.0,18.75,0.48,0.02,1014.17,29.95,10.0,6.0,1.33,13.81,22.26,208.34,51.54,2.31,1.41,6.58,7.22,1.0,1.08,80.58,Satisfactory,Low,None
Morocco,Africa,19.92,3.63,5.88,91.92,33.33,0.03,0.0,1014.08,29.94,5.0,3.0,1.42,7.48,12.04,213.35,88.39,0.69,1.38,5.48,15.78,1.0,1.0,80.58,Satisfactory,Low,None
Mozambique,Africa,19.53,6.93,11.15,82.75,37.5,0.02,0.0,1020.17,30.12,10.0,6.0,1.33,9.82,15.82,455.22,36.2,2.6,0.93,13.67,29.38,1.33,1.67,80.58,Acceptable,Slight Concern,None
Myanmar,Asia,25.79,4.85,7.8,90.5,69.5,0.77,0.03,1005.75,29.69,8.42,5.0,4.58,7.58,12.18,251.33,32.28,1.05,0.2,7.69,8.82,1.17,1.33,80.58,Satisfactory,Low,None
Namibia,Africa,17.25,5.2,8.33,29.0,0.0,0.0,0.0,1025.42,30.28,10.0,6.0,1.5,11.02,17.76,352.42,61.16,1.8,3.22,26.96,44.83,1.75,2.67,80.58,Acceptable,Slight Concern,None
Nepal,Asia,22.0,3.03,4.92,88.17,68.75,0.13,0.0,1013.08,29.91,7.25,3.92,3.5,3.6,5.8,1555.46,19.38,15.93,5.03,86.89,109.02,3.58,7.33,80.58,Very Unhealthy,Health Alert,Urban Emissions
Netherlands,Europe,16.92,6.17,9.9,87.08,10.42,0.03,0.0,1016.42,30.01,9.08,5.42,1.33,10.64,17.13,257.58,39.3,19.78,1.92,11.43,13.72,1.25,1.42,80.58,Satisfactory,Low,None
New Zealand,Pacific,13.92,12.83,20.69,70.67,33.33,0.03,0.0,1025.25,30.28,10.0,6.0,3.5,16.64,26.79,215.17,57.01,1.29,0.84,1.68,3.75,1.0,1.0,80.58,Satisfactory,Low,None
Nicaragua,America,30.68,7.71,12.42,68.75,45.83,0.07,0.0,1008.25,29.77,9.92,5.92,5.75,15.7,25.25,362.72,41.19,5.38,6.94,6.79,8.81,1.08,1.17,80.58,Acceptable,Slight Concern,None
Niger,Africa,28.5,6.11,9.82,72.5,2.08,0.02,0.0,1013.08,29.91,9.58,5.58,1.58,15.15,24.38,601.1,15.35,2.76,0.69,14.23,19.89,1.42,1.92,80.58,Moderate,Concerning,None
Nigeria,Africa,24.33,4.34,7.0,91.58,33.33,1.18,0.05,1015.42,29.98,10.0,6.0,1.42,3.87,6.22,659.78,15.29,1.81,0.17,13.01,18.0,1.25,1.58,80.58,Moderate,Concerning,None
North Korea,Asia,21.43,3.44,5.56,82.33,29.17,0.07,0.0,1012.33,29.9,10.0,6.0,5.5,4.71,7.59,547.7,19.98,15.39,24.82,42.72,51.94,2.42,4.67,80.58,Moderate,Concerning,None
Norway,Europe,13.17,19.26,31.0,89.42,60.42,0.0,0.0,1014.42,29.96,6.83,4.08,1.25,5.66,9.12,216.28,26.59,11.82,5.79,6.19,7.27,1.08,1.25,80.58,Satisfactory,Low,None
Oman,Asia,30.0,4.72,7.58,83.0,6.25,0.0,0.0,1002.67,29.61,9.25,5.33,2.08,7.28,11.7,254.64,41.5,25.4,8.63,32.22,110.67,2.08,3.33,80.58,Satisfactory,Low,None
Pakistan,Asia,26.59,5.52,8.89,55.25,15.17,0.0,0.0,1004.92,29.67,10.0,6.0,2.08,10.22,16.44,984.11,71.72,17.75,4.43,70.93,96.21,3.75,9.0,80.58,Unhealthy,Serious,Agricultural Burning
Palau,Pacific,28.25,7.9,12.7,83.0,81.25,0.14,0.01,1010.25,29.83,20.5,12.42,1.0,13.38,21.5,206.97,19.89,0.13,0.13,1.36,2.58,1.0,1.0,80.58,Satisfactory,Low,None
Panama,America,28.75,7.93,12.75,82.5,50.0,0.76,0.03,1008.17,29.77,9.83,5.83,5.17,8.18,13.18,901.23,13.48,18.22,13.03,6.88,8.43,1.08,1.17,80.58,Unhealthy,Serious,Maritime Traffic
