continent,gust_mph,pressure_mb,wind_kph,pressure_in,visibility_km,uv_index,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index
Africa,10.86,1015.37,10.36,29.98,9.36,1.45,36.66,3.88,2.42,16.97,34.4,1.47,2.06
America,11.19,1012.83,12.53,29.91,10.37,2.95,38.43,11.73,8.47,17.45,22.95,1.29,1.63
Asia,8.98,1009.25,8.62,29.8,9.12,3.02,45.29,19.31,13.92,42.74,68.59,2.04,3.4
Atlantic,19.82,1007.88,21.66,29.76,9.17,1.33,47.08,0.77,0.27,5.11,19.8,1.08,1.21
Australia,7.83,1018.75,15.29,30.08,10.0,3.17,34.76,4.32,0.55,3.15,4.67,1.0,1.08
Europe,9.41,1016.34,8.89,30.01,9.67,1.37,42.24,11.01,3.25,10.65,13.31,1.2,1.45
Indian,15.12,1016.79,15.0,30.02,9.89,1.61,45.49,0.74,0.81,3.44,8.02,1.0,1.01
Pacific,17.34,1013.92,16.06,29.94,13.07,5.08,38.36,1.0,1.23,2.46,6.32,1.01,1.02
